資料集標題,政府開放資料平台盤點 Platform Survey
資料集描述,本資料集為台灣政府各開放資料平台盤點結果
主要欄位說明,"平台,連結,reviewer,有授權條款,資料授權條款名稱,政府網站資料開放宣告,提資料需求,提資料需求連結,資料集數量,應用範例,搜尋功能,回饋機制,資料欄位-資料集名稱,資料欄位-資料集描述,資料欄位-主要欄位說明,資料欄位-檔案格式,資料欄位-授權方式,資料欄位-授權說明網址,資料欄位-計費方式,資料欄位-提供機關名稱,資料欄位-機關聯絡人,資料欄位-聯絡人電話
"
資料集連結,https://github.com/ocftw/OpenGovReport14-16/tree/master/data
資料集格式,"CSV,JSON"
資料集提供者,"劉彥德,藍偉任,沒有人,李梅君"
資料集檢查者,楊小克
授權方式,CC0 1.0 公眾領域貢獻宣告
授權說明網址,https://creativecommons.org/publicdomain/zero/1.0/deed.zh_TW
計費方式,免費
發布時間,2017年05月11日
專案說明,https://g0v.hackpad.com/--8fxOWuoTDrl